identifier,HWRC,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
,hwrc-eng-dev-pp3591hp,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-hp3991hp,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-hp3991hp,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-hp3991hp,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-hp3991hp,hwrc-trans-04,0,,,,,,,,,,11/10/2021
,hwrc-eng-dev-hp3991hp,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-jp3991hs,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-jp3991hs,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-jp3991hs,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-jp3991hs,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-jp3991hs,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-ap3796ed,hwrc-trans-01,1,,,,https://www.eventbrite.co.uk/e/pinbrook-road-hwrc-van-booking-free-service-tickets-157588004965,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-ap3796ed,hwrc-trans-02,1,,,1,https://www.eventbrite.co.uk/e/pinbrook-road-hwrc-van-booking-free-service-tickets-157588004965,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-ap3796ed,hwrc-trans-03,1,,,1,https://www.eventbrite.co.uk/e/pinbrook-road-hwrc-van-booking-free-service-tickets-157588004965,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-ap3796ed,hwrc-trans-04,1,,,1,https://www.eventbrite.co.uk/e/pinbrook-road-hwrc-van-booking-free-service-tickets-157588004965,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-ap3796ed,hwrc-trans-05,1,,,,,,,,,,24/09/2021
,hwrc-eng-dev-eb3739rt,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-eb3739rt,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-eb3739rt,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-eb3739rt,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-eb3739rt,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-eb3739av,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-eb3739av,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
,hwrc-eng-dev-eb3739av,hwrc-trans-03,1,,,,,,1.8 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-eb3739av,hwrc-trans-04,1,,,,,,3.0 m,,,hwrc-trans-01,11/10/2021
,hwrc-eng-dev-eb3739av,hwrc-trans-05,0,,,,,,,,,,24/09/2021
,hwrc-eng-dev-kb3136ry,hwrc-trans-01,1,,,0,,2.0 m,,,,,24/09/2021
,hwrc-eng-dev-kb3136ry,hwrc-trans-02,1,,,0,,3.0 m,6.0 m,,3.5 t,,24/09/2021
