Id,HWRC,transportType,accessAllowed,openingHours,permitRequired,bookingRequired,bookingURL,maxHeight,maxLength,maxWidth,maxWeight,trailerCombinedWith,dateUpdated
,hwrc-eng-som-bp3391hx,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-bp3391hx,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-fp3190fs,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-fp3190fs,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-fp3190fs,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-fp3190fs,pedestrian,1,,0,0,,,,,,,1/10/2021
,hwrc-eng-som-dp3593fn,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-dp3593fn,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-dp3593fn,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-dp3593fn,pedestrian,1,,0,0,,,,,,,1/10/2021
,hwrc-eng-som-hp3790fv,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-hp3790fv,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-hp3790fv,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-hp3790fv,pedestrian,1,,0,0,,,,,,,1/10/2021
,hwrc-eng-som-hp3190fm,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-hp3190fm,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-hp3190fm,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-hp3190fm,pedestrian,1,,0,0,,,,,,,1/10/2021
,hwrc-eng-som-cp3090fy,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-cp3090fy,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
,hwrc-eng-som-cp3090fy,trailer,1,,1,0,,,3.0 m,,,small vehicle,4/10/2021
,hwrc-eng-som-cp3090fy,pedestrian,0,,,,,,,,,,1/10/2021
,hwrc-eng-som-kb3605kr,small vehicle,1,,0,0,,2.0 m,,,,,1/10/2021
,hwrc-eng-som-kb3605kr,large vehicle,1,,1,0,,,,,3.5 t,,1/10/2021
